25-Mar-2010 16:56:14:	$IIGLL,3739.857,N,12222.813,W,235613,A,A*4D
25-Mar-2010 16:56:14:	$IIHDG,271,,,15,E*12
25-Mar-2010 16:56:14:	$IIMTW,+15.0,C*3C
25-Mar-2010 16:56:14:	$IIMWV,001,R,06.5,N,A*11
25-Mar-2010 16:56:14:	$IIMWV,002,T,06.4,N,A*15
25-Mar-2010 16:56:15:	$IIRMB,A,0.23,R,,BAYBDG  ,,,,,008.10,001,,V,A*7B
25-Mar-2010 16:56:15:	$IIRMC,235613,A,3739.857,N,12222.813,W,00.0,017,250310,15,E,A*16
25-Mar-2010 16:56:15:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:15:	$IIVLW,00000,N,000.0,N*53
25-Mar-2010 16:56:15:	$IIGLL,3739.857,N,12222.813,W,235614,A,A*4A
25-Mar-2010 16:56:15:	$IIHDG,271,,,15,E*12
25-Mar-2010 16:56:15:	$IIMTW,+15.0,C*3C
25-Mar-2010 16:56:15:	$IIMWV,000,R,06.7,N,A*12
25-Mar-2010 16:56:16:	$IIMWV,001,T,06.5,N,A*17
25-Mar-2010 16:56:16:	$IIRMC,235614,A,3739.857,N,12222.813,W,00.0,017,250310,15,E,A*11
25-Mar-2010 16:56:16:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:16:	$IIVLW,00000,N,000.0,N*53
25-Mar-2010 16:56:16:	$IIGLL,3739.857,N,12222.812,W,235615,A,A*4A
25-Mar-2010 16:56:16:	$IIHDG,271,,,15,E*12
25-Mar-2010 16:56:16:	$IIMTW,+15.0,C*3C
25-Mar-2010 16:56:16:	$IIMWV,001,R,07.1,N,A*14
25-Mar-2010 16:56:17:	$IIMWV,000,T,06.7,N,A*14
25-Mar-2010 16:56:17:	$IIRMB,A,0.23,R,,BAYBDG  ,,,,,008.10,001,,V,A*7B
25-Mar-2010 16:56:17:	$IIRMC,235616,A,3739.857,N,12222.812,W,00.0,017,250310,15,E,A*12
25-Mar-2010 16:56:17:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:17:	$IIVLW,00000,N,000.0,N*53
25-Mar-2010 16:56:18:	$IIGLL,3739.857,N,12222.812,W,235616,A,A*49
25-Mar-2010 16:56:18:	$IIHDG,271,,,15,E*12
25-Mar-2010 16:56:18:	$IIMTW,+15.0,C*3C
25-Mar-2010 16:56:18:	$IIMWV,003,R,07.2,N,A*15
25-Mar-2010 16:56:18:	$IIMWV,001,T,07.1,N,A*12
25-Mar-2010 16:56:18:	$IIRMB,A,0.23,R,,BAYBDG  ,,,,,008.10,001,,V,A*7B
25-Mar-2010 16:56:18:	$IIRMC,235617,A,3739.857,N,12222.812,W,00.0,017,250310,15,E,A*13
25-Mar-2010 16:56:18:	$IIVHW,,,271,M,00.0,N,,*60
25-Mar-2010 16:56:18:	$IIVLW,00000,N,000.0,N*53
25-Mar-2010 16:56:19:	$IIGLL,3739.857,N,12222.812,W,235617,A,A*48
25-Mar-2010 16:56:19:	$IIHDG,271,,,15,E*12
